site,msq
Poroc San Flower,1769
San Agustin,2233
Gabas,3015
Sitio Lonas,4210
Sitio Tugas,5635
Poroc Rose,6805
Caridad Proper,7829
Caridad Cemetery,7963
Visca,10313
Hicgop South,12401
Elementary School,14214
Tamakin Dacot,19537
Palanas,40695
Haina,42715
Sitio Baybayon,54761
Wangag,61622
Cabatoan,53004
N.Magbangon,52999
S.Magbangon,52999
camotes_east1,7957500
camotes_east2,7957500
camotes_central1,10290000
camotes_central2,10290000
camotes_west1,12540000
camotes_west2,12540000
near_north_full1,1750000
near_north_full2,1750000
near_north_full3,1750000
near_north_ten_per_cover1,175000
near_north_ten_per_cover2,175000
near_north_ten_per_cover3,175000
near_south_full1,1582500
near_south_full2,1580000
near_south_full3,1580000
near_south_ten_per_cover1,158333
near_south_ten_per_cover2,158333
near_south_ten_per_cover3,158333
cuatras_islas_northwest,2500000
cuatras_islas_northeast,1500000
cuatras_islas_central,2000000
cuatras_islas_south,2500000